bed_record_id,hospital_id,hospital_name,record_date,ward,licensed_beds,blocked_beds,usable_beds,opening_occupied_beds,admissions,transfers_in,discharges,transfers_out,deaths_or_other_exits,closing_occupied_beds,occupancy_rate_pct,occupancy_status,source_system,synthetic_flag
BED000001,KPJ_01,JCORP Specialist Hospital,2024-07-01,Medical Ward,60,1,59,46,5,1,5,1,0,46,77.97,Normal,Bed Management System,True
BED000002,KPJ_01,JCORP Specialist Hospital,2024-07-01,Surgical Ward,55,0,55,42,4,1,5,0,0,42,76.36,Normal,Bed Management System,True
BED000003,KPJ_01,JCORP Specialist Hospital,2024-07-01,Maternity Ward,45,2,43,32,3,1,3,0,1,32,74.42,Underutilised,Bed Management System,True
BED000004,KPJ_01,JCORP Specialist Hospital,2024-07-01,Paediatric Ward,40,2,38,29,3,0,3,0,0,29,76.32,Normal,Bed Management System,True
BED000005,KPJ_01,JCORP Specialist Hospital,2024-07-02,Medical Ward,60,0,60,46,4,1,4,1,0,46,76.67,Normal,Bed Management System,True
BED000006,KPJ_01,JCORP Specialist Hospital,2024-07-02,Surgical Ward,55,2,53,42,4,0,4,1,0,41,77.36,Normal,Bed Management System,True
BED000007,KPJ_01,JCORP Specialist Hospital,2024-07-02,Maternity Ward,45,1,44,32,3,0,3,0,0,32,72.73,Underutilised,Bed Management System,True
BED000008,KPJ_01,JCORP Specialist Hospital,2024-07-02,Paediatric Ward,40,1,39,29,2,0,2,0,0,29,74.36,Underutilised,Bed Management System,True
BED000009,KPJ_01,JCORP Specialist Hospital,2024-07-03,Medical Ward,60,3,57,46,5,1,6,1,0,45,78.95,Normal,Bed Management System,True
BED000010,KPJ_01,JCORP Specialist Hospital,2024-07-03,Surgical Ward,55,0,55,41,5,1,5,1,0,41,74.55,Underutilised,Bed Management System,True
BED000011,KPJ_01,JCORP Specialist Hospital,2024-07-03,Maternity Ward,45,0,45,32,3,1,4,1,0,31,68.89,Underutilised,Bed Management System,True
BED000012,KPJ_01,JCORP Specialist Hospital,2024-07-03,Paediatric Ward,40,1,39,29,3,0,3,0,0,29,74.36,Underutilised,Bed Management System,True
BED000013,KPJ_01,JCORP Specialist Hospital,2024-07-04,Medical Ward,60,0,60,45,5,1,5,1,0,45,75.0,Normal,Bed Management System,True
BED000014,KPJ_01,JCORP Specialist Hospital,2024-07-04,Surgical Ward,55,3,52,41,4,0,4,0,0,41,78.85,Normal,Bed Management System,True
BED000015,KPJ_01,JCORP Specialist Hospital,2024-07-04,Maternity Ward,45,0,45,31,3,0,3,0,0,31,68.89,Underutilised,Bed Management System,True
BED000016,KPJ_01,JCORP Specialist Hospital,2024-07-04,Paediatric Ward,40,0,40,29,3,0,3,0,0,29,72.5,Underutilised,Bed Management System,True
BED000017,KPJ_01,JCORP Specialist Hospital,2024-07-05,Medical Ward,60,1,59,45,4,1,4,1,0,45,76.27,Normal,Bed Management System,True
BED000018,KPJ_01,JCORP Specialist Hospital,2024-07-05,Surgical Ward,55,3,52,41,3,0,4,1,0,39,75.0,Normal,Bed Management System,True
BED000019,KPJ_01,JCORP Specialist Hospital,2024-07-05,Maternity Ward,45,1,44,31,2,0,3,0,0,30,68.18,Underutilised,Bed Management System,True
BED000020,KPJ_01,JCORP Specialist Hospital,2024-07-05,Paediatric Ward,40,0,40,29,2,0,2,0,0,29,72.5,Underutilised,Bed Management System,True
BED000021,KPJ_01,JCORP Specialist Hospital,2024-07-06,Medical Ward,60,1,59,45,4,1,5,0,0,45,76.27,Normal,Bed Management System,True
BED000022,KPJ_01,JCORP Specialist Hospital,2024-07-06,Surgical Ward,55,0,55,39,4,1,4,0,0,40,72.73,Underutilised,Bed Management System,True
BED000023,KPJ_01,JCORP Specialist Hospital,2024-07-06,Maternity Ward,45,0,45,30,3,0,3,0,0,30,66.67,Underutilised,Bed Management System,True
BED000024,KPJ_01,JCORP Specialist Hospital,2024-07-06,Paediatric Ward,40,3,37,29,2,0,2,0,1,28,75.68,Normal,Bed Management System,True
BED000025,KPJ_01,JCORP Specialist Hospital,2024-07-07,Medical Ward,60,0,60,45,6,1,5,1,0,46,76.67,Normal,Bed Management System,True
BED000026,KPJ_01,JCORP Specialist Hospital,2024-07-07,Surgical Ward,55,1,54,40,6,1,4,1,0,42,77.78,Normal,Bed Management System,True
BED000027,KPJ_01,JCORP Specialist Hospital,2024-07-07,Maternity Ward,45,0,45,30,4,0,3,0,0,31,68.89,Underutilised,Bed Management System,True
BED000028,KPJ_01,JCORP Specialist Hospital,2024-07-07,Paediatric Ward,40,0,40,28,3,0,3,0,1,27,67.5,Underutilised,Bed Management System,True
BED000029,KPJ_01,JCORP Specialist Hospital,2024-07-08,Medical Ward,60,0,60,46,6,1,6,0,0,47,78.33,Normal,Bed Management System,True
BED000030,KPJ_01,JCORP Specialist Hospital,2024-07-08,Surgical Ward,55,1,54,42,5,1,6,0,0,42,77.78,Normal,Bed Management System,True
BED000031,KPJ_01,JCORP Specialist Hospital,2024-07-08,Maternity Ward,45,1,44,31,4,0,4,0,0,31,70.45,Underutilised,Bed Management System,True
BED000032,KPJ_01,JCORP Specialist Hospital,2024-07-08,Paediatric Ward,40,0,40,27,3,0,3,0,0,27,67.5,Underutilised,Bed Management System,True
