reporting_month,kpi_code,kpi_name,domain,kpi_value,unit,direction,target_value,warning_threshold,critical_threshold,status,threshold_gap,previous_month_value,month_on_month_change,trend_direction,record_count,numerator_value,denominator_value,data_quality_status,data_quality_note,source_files,calculation_note
2024-07-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,73.13,Percent (%),range_is_better,85.0,85.0,90.0,Normal,11.87,,,Not Available,124,4476,6121,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2024-07-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.13,Minutes,lower_is_better,45.0,50.0,60.0,Normal,16.87,,,Not Available,12333,408564,12333,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2024-07-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.78,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.22,,,Not Available,39,28,15759,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2024-07-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.81,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,18.81,,,Not Available,2506,2351,2506,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2024-07-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.36,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.14,,,Not Available,5740,193,5740,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2024-07-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.64,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.64,,,Not Available,5740,5547,5740,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2024-08-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,71.69,Percent (%),range_is_better,85.0,85.0,90.0,Normal,13.31,73.13,-1.44,Improving,124,4402,6140,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2024-08-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.93,Minutes,lower_is_better,45.0,50.0,60.0,Normal,17.07,33.13,-0.2,Improving,12346,406496,12346,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2024-08-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.51,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.49,1.78,-0.27,Improving,44,24,15845,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2024-08-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.96,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,18.96,93.81,0.15,Improving,2534,2381,2534,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
