encounter_record_id,hospital_id,hospital_name,encounter_date,service_area,encounter_type,patient_encounters,queue_eligible_encounters,survey_eligible_encounters,admissions,discharges,transfers_in,transfers_out,source_system,synthetic_flag
EN000001,KPJ_01,JCORP Specialist Hospital,2024-07-01,Emergency Department,Emergency,159,146,52,0,0,0,0,Hospital Information System,True
EN000002,KPJ_01,JCORP Specialist Hospital,2024-07-01,Outpatient Department,Outpatient,301,278,237,0,0,0,0,Hospital Information System,True
EN000003,KPJ_01,JCORP Specialist Hospital,2024-07-01,Inpatient Wards,Inpatient,74,0,43,15,16,3,1,Hospital Information System,True
EN000004,KPJ_01,JCORP Specialist Hospital,2024-07-02,Emergency Department,Emergency,161,145,56,0,0,0,0,Hospital Information System,True
EN000005,KPJ_01,JCORP Specialist Hospital,2024-07-02,Outpatient Department,Outpatient,314,302,250,0,0,0,0,Hospital Information System,True
EN000006,KPJ_01,JCORP Specialist Hospital,2024-07-02,Inpatient Wards,Inpatient,79,0,47,13,13,1,2,Hospital Information System,True
EN000007,KPJ_01,JCORP Specialist Hospital,2024-07-03,Emergency Department,Emergency,148,138,55,0,0,0,0,Hospital Information System,True
EN000008,KPJ_01,JCORP Specialist Hospital,2024-07-03,Outpatient Department,Outpatient,312,290,224,0,0,0,0,Hospital Information System,True
EN000009,KPJ_01,JCORP Specialist Hospital,2024-07-03,Inpatient Wards,Inpatient,95,0,57,16,18,3,3,Hospital Information System,True
EN000010,KPJ_01,JCORP Specialist Hospital,2024-07-04,Emergency Department,Emergency,164,146,58,0,0,0,0,Hospital Information System,True
EN000011,KPJ_01,JCORP Specialist Hospital,2024-07-04,Outpatient Department,Outpatient,315,295,225,0,0,0,0,Hospital Information System,True
EN000012,KPJ_01,JCORP Specialist Hospital,2024-07-04,Inpatient Wards,Inpatient,87,0,49,15,15,1,1,Hospital Information System,True
EN000013,KPJ_01,JCORP Specialist Hospital,2024-07-05,Emergency Department,Emergency,156,142,58,0,0,0,0,Hospital Information System,True
EN000014,KPJ_01,JCORP Specialist Hospital,2024-07-05,Outpatient Department,Outpatient,327,308,252,0,0,0,0,Hospital Information System,True
EN000015,KPJ_01,JCORP Specialist Hospital,2024-07-05,Inpatient Wards,Inpatient,75,0,38,11,13,1,2,Hospital Information System,True
EN000016,KPJ_01,JCORP Specialist Hospital,2024-07-06,Emergency Department,Emergency,162,146,60,0,0,0,0,Hospital Information System,True
EN000017,KPJ_01,JCORP Specialist Hospital,2024-07-06,Outpatient Department,Outpatient,114,107,88,0,0,0,0,Hospital Information System,True
EN000018,KPJ_01,JCORP Specialist Hospital,2024-07-06,Inpatient Wards,Inpatient,77,0,43,13,14,2,0,Hospital Information System,True
EN000019,KPJ_01,JCORP Specialist Hospital,2024-07-07,Emergency Department,Emergency,189,169,64,0,0,0,0,Hospital Information System,True
EN000020,KPJ_01,JCORP Specialist Hospital,2024-07-07,Outpatient Department,Outpatient,105,97,79,0,0,0,0,Hospital Information System,True
EN000021,KPJ_01,JCORP Specialist Hospital,2024-07-07,Inpatient Wards,Inpatient,87,0,48,19,15,2,2,Hospital Information System,True
EN000022,KPJ_01,JCORP Specialist Hospital,2024-07-08,Emergency Department,Emergency,150,138,47,0,0,0,0,Hospital Information System,True
EN000023,KPJ_01,JCORP Specialist Hospital,2024-07-08,Outpatient Department,Outpatient,365,345,256,0,0,0,0,Hospital Information System,True
EN000024,KPJ_01,JCORP Specialist Hospital,2024-07-08,Inpatient Wards,Inpatient,73,0,37,18,19,2,0,Hospital Information System,True
EN000025,KPJ_01,JCORP Specialist Hospital,2024-07-09,Emergency Department,Emergency,163,150,54,0,0,0,0,Hospital Information System,True
EN000026,KPJ_01,JCORP Specialist Hospital,2024-07-09,Outpatient Department,Outpatient,282,260,203,0,0,0,0,Hospital Information System,True
EN000027,KPJ_01,JCORP Specialist Hospital,2024-07-09,Inpatient Wards,Inpatient,81,0,42,16,16,3,1,Hospital Information System,True
EN000028,KPJ_01,JCORP Specialist Hospital,2024-07-10,Emergency Department,Emergency,143,134,55,0,0,0,0,Hospital Information System,True
EN000029,KPJ_01,JCORP Specialist Hospital,2024-07-10,Outpatient Department,Outpatient,283,271,199,0,0,0,0,Hospital Information System,True
EN000030,KPJ_01,JCORP Specialist Hospital,2024-07-10,Inpatient Wards,Inpatient,83,0,42,19,18,2,2,Hospital Information System,True
EN000031,KPJ_01,JCORP Specialist Hospital,2024-07-11,Emergency Department,Emergency,155,145,49,0,0,0,0,Hospital Information System,True
EN000032,KPJ_01,JCORP Specialist Hospital,2024-07-11,Outpatient Department,Outpatient,336,316,260,0,0,0,0,Hospital Information System,True
EN000033,KPJ_01,JCORP Specialist Hospital,2024-07-11,Inpatient Wards,Inpatient,91,0,54,13,16,3,2,Hospital Information System,True
EN000034,KPJ_01,JCORP Specialist Hospital,2024-07-12,Emergency Department,Emergency,152,140,47,0,0,0,0,Hospital Information System,True
EN000035,KPJ_01,JCORP Specialist Hospital,2024-07-12,Outpatient Department,Outpatient,344,322,267,0,0,0,0,Hospital Information System,True
EN000036,KPJ_01,JCORP Specialist Hospital,2024-07-12,Inpatient Wards,Inpatient,81,0,47,16,16,0,2,Hospital Information System,True
EN000037,KPJ_01,JCORP Specialist Hospital,2024-07-13,Emergency Department,Emergency,195,178,77,0,0,0,0,Hospital Information System,True
EN000038,KPJ_01,JCORP Specialist Hospital,2024-07-13,Outpatient Department,Outpatient,105,99,74,0,0,0,0,Hospital Information System,True
EN000039,KPJ_01,JCORP Specialist Hospital,2024-07-13,Inpatient Wards,Inpatient,80,0,41,14,10,3,1,Hospital Information System,True
EN000040,KPJ_01,JCORP Specialist Hospital,2024-07-14,Emergency Department,Emergency,182,168,58,0,0,0,0,Hospital Information System,True
EN000041,KPJ_01,JCORP Specialist Hospital,2024-07-14,Outpatient Department,Outpatient,111,107,88,0,0,0,0,Hospital Information System,True
EN000042,KPJ_01,JCORP Specialist Hospital,2024-07-14,Inpatient Wards,Inpatient,70,0,38,12,10,2,2,Hospital Information System,True
EN000043,KPJ_01,JCORP Specialist Hospital,2024-07-15,Emergency Department,Emergency,163,147,53,0,0,0,0,Hospital Information System,True
EN000044,KPJ_01,JCORP Specialist Hospital,2024-07-15,Outpatient Department,Outpatient,320,296,233,0,0,0,0,Hospital Information System,True
EN000045,KPJ_01,JCORP Specialist Hospital,2024-07-15,Inpatient Wards,Inpatient,82,0,49,18,15,1,2,Hospital Information System,True
EN000046,KPJ_01,JCORP Specialist Hospital,2024-07-16,Emergency Department,Emergency,161,146,53,0,0,0,0,Hospital Information System,True
EN000047,KPJ_01,JCORP Specialist Hospital,2024-07-16,Outpatient Department,Outpatient,332,321,248,0,0,0,0,Hospital Information System,True
EN000048,KPJ_01,JCORP Specialist Hospital,2024-07-16,Inpatient Wards,Inpatient,87,0,44,15,12,1,1,Hospital Information System,True
EN000049,KPJ_01,JCORP Specialist Hospital,2024-07-17,Emergency Department,Emergency,156,145,48,0,0,0,0,Hospital Information System,True
EN000050,KPJ_01,JCORP Specialist Hospital,2024-07-17,Outpatient Department,Outpatient,303,291,214,0,0,0,0,Hospital Information System,True
EN000051,KPJ_01,JCORP Specialist Hospital,2024-07-17,Inpatient Wards,Inpatient,78,0,39,16,14,1,2,Hospital Information System,True
EN000052,KPJ_01,JCORP Specialist Hospital,2024-07-18,Emergency Department,Emergency,176,163,55,0,0,0,0,Hospital Information System,True
EN000053,KPJ_01,JCORP Specialist Hospital,2024-07-18,Outpatient Department,Outpatient,274,255,218,0,0,0,0,Hospital Information System,True
EN000054,KPJ_01,JCORP Specialist Hospital,2024-07-18,Inpatient Wards,Inpatient,90,0,52,14,13,2,0,Hospital Information System,True
EN000055,KPJ_01,JCORP Specialist Hospital,2024-07-19,Emergency Department,Emergency,152,135,60,0,0,0,0,Hospital Information System,True
EN000056,KPJ_01,JCORP Specialist Hospital,2024-07-19,Outpatient Department,Outpatient,322,308,231,0,0,0,0,Hospital Information System,True
EN000057,KPJ_01,JCORP Specialist Hospital,2024-07-19,Inpatient Wards,Inpatient,78,0,47,13,8,2,2,Hospital Information System,True
EN000058,KPJ_01,JCORP Specialist Hospital,2024-07-20,Emergency Department,Emergency,156,142,48,0,0,0,0,Hospital Information System,True
EN000059,KPJ_01,JCORP Specialist Hospital,2024-07-20,Outpatient Department,Outpatient,106,99,83,0,0,0,0,Hospital Information System,True
EN000060,KPJ_01,JCORP Specialist Hospital,2024-07-20,Inpatient Wards,Inpatient,78,0,46,9,9,1,2,Hospital Information System,True
EN000061,KPJ_01,JCORP Specialist Hospital,2024-07-21,Emergency Department,Emergency,166,156,51,0,0,0,0,Hospital Information System,True
EN000062,KPJ_01,JCORP Specialist Hospital,2024-07-21,Outpatient Department,Outpatient,125,119,99,0,0,0,0,Hospital Information System,True
EN000063,KPJ_01,JCORP Specialist Hospital,2024-07-21,Inpatient Wards,Inpatient,72,0,37,8,9,2,3,Hospital Information System,True
EN000064,KPJ_01,JCORP Specialist Hospital,2024-07-22,Emergency Department,Emergency,146,130,45,0,0,0,0,Hospital Information System,True
EN000065,KPJ_01,JCORP Specialist Hospital,2024-07-22,Outpatient Department,Outpatient,346,330,247,0,0,0,0,Hospital Information System,True
EN000066,KPJ_01,JCORP Specialist Hospital,2024-07-22,Inpatient Wards,Inpatient,86,0,44,12,12,2,2,Hospital Information System,True
EN000067,KPJ_01,JCORP Specialist Hospital,2024-07-23,Emergency Department,Emergency,161,149,58,0,0,0,0,Hospital Information System,True
EN000068,KPJ_01,JCORP Specialist Hospital,2024-07-23,Outpatient Department,Outpatient,333,321,243,0,0,0,0,Hospital Information System,True
EN000069,KPJ_01,JCORP Specialist Hospital,2024-07-23,Inpatient Wards,Inpatient,87,0,45,14,16,2,2,Hospital Information System,True
EN000070,KPJ_01,JCORP Specialist Hospital,2024-07-24,Emergency Department,Emergency,153,139,57,0,0,0,0,Hospital Information System,True
EN000071,KPJ_01,JCORP Specialist Hospital,2024-07-24,Outpatient Department,Outpatient,333,322,242,0,0,0,0,Hospital Information System,True
EN000072,KPJ_01,JCORP Specialist Hospital,2024-07-24,Inpatient Wards,Inpatient,81,0,48,16,17,2,2,Hospital Information System,True
EN000073,KPJ_01,JCORP Specialist Hospital,2024-07-25,Emergency Department,Emergency,140,128,49,0,0,0,0,Hospital Information System,True
EN000074,KPJ_01,JCORP Specialist Hospital,2024-07-25,Outpatient Department,Outpatient,370,354,277,0,0,0,0,Hospital Information System,True
EN000075,KPJ_01,JCORP Specialist Hospital,2024-07-25,Inpatient Wards,Inpatient,74,0,40,18,16,1,1,Hospital Information System,True
EN000076,KPJ_01,JCORP Specialist Hospital,2024-07-26,Emergency Department,Emergency,160,143,49,0,0,0,0,Hospital Information System,True
EN000077,KPJ_01,JCORP Specialist Hospital,2024-07-26,Outpatient Department,Outpatient,334,322,235,0,0,0,0,Hospital Information System,True
EN000078,KPJ_01,JCORP Specialist Hospital,2024-07-26,Inpatient Wards,Inpatient,88,0,44,12,11,2,1,Hospital Information System,True
EN000079,KPJ_01,JCORP Specialist Hospital,2024-07-27,Emergency Department,Emergency,173,162,59,0,0,0,0,Hospital Information System,True
EN000080,KPJ_01,JCORP Specialist Hospital,2024-07-27,Outpatient Department,Outpatient,105,97,75,0,0,0,0,Hospital Information System,True
EN000081,KPJ_01,JCORP Specialist Hospital,2024-07-27,Inpatient Wards,Inpatient,66,0,38,16,16,1,1,Hospital Information System,True
EN000082,KPJ_01,JCORP Specialist Hospital,2024-07-28,Emergency Department,Emergency,163,146,52,0,0,0,0,Hospital Information System,True
EN000083,KPJ_01,JCORP Specialist Hospital,2024-07-28,Outpatient Department,Outpatient,111,104,84,0,0,0,0,Hospital Information System,True
EN000084,KPJ_01,JCORP Specialist Hospital,2024-07-28,Inpatient Wards,Inpatient,79,0,45,12,11,0,3,Hospital Information System,True
EN000085,KPJ_01,JCORP Specialist Hospital,2024-07-29,Emergency Department,Emergency,151,142,57,0,0,0,0,Hospital Information System,True
