reporting_month,workforce_staffing_value,workforce_staffing_status,workforce_absence_value,workforce_absence_status,operations_bed_occupancy_value,operations_bed_occupancy_status,operations_wait_time_value,operations_wait_time_status,patient_complaint_rate_value,patient_complaint_rate_status,patient_satisfaction_value,patient_satisfaction_status,workforce_domain_score,operations_domain_score,patient_experience_domain_score,workforce_domain_level,operations_domain_level,patient_experience_domain_level,active_warning_kpi_count,active_critical_kpi_count,worsening_kpi_count,strong_anomaly_kpi_count,connected_domain_count,signal_pattern_code,signal_pattern_name,cross_domain_risk_score,cross_domain_risk_level,expected_signal_chain,management_interpretation,recommended_management_attention,evidence_kpis,evidence_source,data_quality_status,analytical_limitation
2024-07-01,96.64,Normal,3.36,Normal,73.13,Normal,33.13,Normal,1.78,Normal,93.81,Normal,0,0,0,Normal,Normal,Normal,0,0,0,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,0.0,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-08-01,97.24,Normal,2.76,Normal,71.69,Normal,32.93,Normal,1.51,Normal,93.96,Normal,0,0,0,Normal,Normal,Normal,0,0,0,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,0.0,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-09-01,96.5,Normal,3.5,Normal,69.2,Normal,32.89,Normal,1.28,Normal,94.13,Normal,0,0,0,Normal,Normal,Normal,0,0,2,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,5.0,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-10-01,97.02,Normal,2.98,Normal,70.95,Normal,33.11,Normal,1.13,Normal,93.88,Normal,0,0,0,Normal,Normal,Normal,0,0,3,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,7.5,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-11-01,96.63,Normal,3.37,Normal,71.36,Normal,33.14,Normal,1.34,Normal,94.55,Normal,0,0,0,Normal,Normal,Normal,0,0,4,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,10.0,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-12-01,96.56,Normal,3.44,Normal,72.6,Normal,32.92,Normal,1.53,Normal,94.36,Normal,0,0,0,Normal,Normal,Normal,0,0,3,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,7.5,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-01-01,96.6,Normal,3.4,Normal,66.45,Normal,33.05,Normal,0.81,Normal,94.98,Normal,0,0,0,Normal,Normal,Normal,0,0,1,3,0,PATTERN_STABLE,Stable or Isolated Normal Variation,7.5,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-02-01,96.81,Normal,3.19,Normal,63.82,Normal,33.02,Normal,1.45,Normal,94.17,Normal,0,0,0,Normal,Normal,Normal,0,0,2,1,0,PATTERN_STABLE,Stable or Isolated Normal Variation,6.67,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-03-01,97.15,Normal,2.85,Normal,61.11,Normal,33.06,Normal,1.48,Normal,93.88,Normal,0,0,0,Normal,Normal,Normal,0,0,2,3,0,PATTERN_STABLE,Stable or Isolated Normal Variation,10.0,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-04-01,96.74,Normal,3.26,Normal,70.35,Normal,33.1,Normal,1.44,Normal,94.21,Normal,0,0,0,Normal,Normal,Normal,0,0,3,0,0,PATTERN_STABLE,Stable or Isolated Normal Variation,7.5,Low,No cross-domain warning pattern is detected. KPI movements remain within normal or isolated variation.,All domains remain within normal parameters.,Continue routine monitoring.,None,hospital_kpi_data_v2.csv; kpi_warning_output_v1.csv; kpi_config_v2.csv,Pass,"The analysis uses synthetic monthly data. Concurrent movements across domains do not prove causation. Monthly aggregation may hide department-level differences. The risk score uses transparent prototype weights. Thresholds are illustrative assumptions calibrated to the synthetic dataset, not universal hospital standards."
