reporting_month,kpi_code,kpi_name,domain,kpi_value,status,previous_month_value,month_on_month_change,trend_direction,warning_boundary,critical_boundary,threshold_gap,threshold_breach,consecutive_warning_months,consecutive_critical_months,deterioration_streak_months,anomaly_method,anomaly_score,anomaly_flag,alert_priority,alert_title,alert_explanation,recommended_management_attention,evidence_source,data_quality_status,analytical_limitation
2024-07-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,73.13,Normal,,,Not Available,85.0,90.0,11.87,None,0,0,0,Rolling six-month z-score,,Not Available,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 73.13. Status is Normal.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-07-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.13,Normal,,,Not Available,50.0,60.0,16.87,None,0,0,0,Rolling six-month z-score,,Not Available,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.13 Minutes. Status is Normal.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-07-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.78,Normal,,,Not Available,2.0,2.5,0.22,None,0,0,0,Rolling six-month z-score,,Not Available,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.78. Status is Normal.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-07-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.81,Normal,,,Not Available,75.0,70.0,18.81,None,0,0,0,Rolling six-month z-score,,Not Available,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 93.81. Status is Normal.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-07-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.36,Normal,,,Not Available,7.5,9.5,4.14,None,0,0,0,Rolling six-month z-score,,Not Available,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.36. Status is Normal.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-07-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.64,Normal,,,Not Available,92.0,90.0,4.64,None,0,0,0,Rolling six-month z-score,,Not Available,None,Staffing Level Within Normal Range,Staffing Level is 96.64. Status is Normal.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-08-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,71.69,Normal,73.13,-1.44,Improving,85.0,90.0,13.31,None,0,0,0,Rolling six-month z-score,,Not Available,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 71.69. Status is Normal. Month-on-month decreased by 1.44.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-08-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.93,Normal,33.13,-0.2,Improving,50.0,60.0,17.07,None,0,0,0,Rolling six-month z-score,,Not Available,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 32.93 Minutes. Status is Normal. Month-on-month decreased by 0.20.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-08-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.51,Normal,1.78,-0.27,Improving,2.0,2.5,0.49,None,0,0,0,Rolling six-month z-score,,Not Available,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.51. Status is Normal. Month-on-month decreased by 0.27.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-08-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.96,Normal,93.81,0.15,Improving,75.0,70.0,18.96,None,0,0,0,Rolling six-month z-score,,Not Available,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 93.96. Status is Normal. Month-on-month increased by 0.15.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-08-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,2.76,Normal,3.36,-0.6,Improving,7.5,9.5,4.74,None,0,0,0,Rolling six-month z-score,,Not Available,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 2.76. Status is Normal. Month-on-month decreased by 0.60.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2024-08-01,WF_STAFF_LEVEL,Staffing Level,Workforce,97.24,Normal,96.64,0.6,Improving,92.0,90.0,5.24,None,0,0,0,Rolling six-month z-score,,Not Available,None,Staffing Level Within Normal Range,Staffing Level is 97.24. Status is Normal. Month-on-month increased by 0.60.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
